sample_id,split,class_index
7559,train,1
10004,train,3
2709,train,3
4792,train,1
13343,train,2
394,train,4
6180,train,1
3658,train,3
3008,train,4
12868,train,2
4898,train,2
3761,train,2
577,train,1
537,train,1
206,train,4
7632,train,4
10518,train,1
6612,train,2
8939,train,2
11120,train,3
4260,train,3
12373,train,2
11219,train,1
53,train,3
4429,train,4
2480,train,1
9089,train,4
12466,train,4
7374,train,2
11105,train,1
12827,train,1
7815,train,4
3387,train,2
10382,train,1
2247,train,3
10704,train,2
9662,train,4
2220,train,3
13597,train,2
7526,train,4
2037,train,3
8734,train,2
13121,train,1
3924,train,4
1496,train,3
1319,train,2
13499,train,2
201,train,4
11559,train,3
7542,train,4
9860,train,2
2411,train,3
3679,train,1
4455,train,3
7880,train,3
8876,train,1
5712,train,3
8260,train,3
10241,train,4
3931,train,4
11353,train,4
13460,train,1
11134,train,1
13336,train,1
13866,train,3
13582,train,1
6140,train,1
12738,train,2
12376,train,2
4613,train,3
10991,train,1
5610,train,1
10181,train,2
5824,train,2
578,train,1
13787,train,3
3048,train,1
2088,train,4
11429,train,2
3690,train,3
11424,train,1
11453,train,2
12533,train,2
6890,train,2
6525,train,2
31,train,3
13831,train,2
3557,train,2
13786,train,2
2495,train,3
12152,train,3
11126,train,2
4521,train,3
14005,train,2
13753,train,2
9890,train,4
2810,train,3
13956,train,2
8955,train,3
10582,train,4
4403,train,2
4722,train,2
9475,train,4
4775,train,4
10702,train,2
3338,train,1
6593,train,1
8419,train,4
10575,train,4
259,train,4
225,train,4
6051,train,2
12415,train,3
3566,train,3
8429,train,2
585,train,1
5002,train,3
6769,train,4
9160,train,3
8221,train,1
6000,train,2
2745,train,4
8701,train,3
12333,train,4
11855,train,4
5521,train,1
1638,train,3
6012,train,3
2637,train,3
3873,train,1
6996,train,4
9182,train,3
4672,train,4
11421,train,3
9682,train,4
2862,train,3
11380,train,3
2874,train,3
11660,train,3
8040,train,3
6880,train,2
5524,train,3
8604,train,1
3174,train,4
12984,train,4
13410,train,2
5169,train,2
1423,train,1
5110,train,4
1805,train,1
6283,train,1
10340,train,4
13723,train,2
2105,train,1
592,train,2
4417,train,2
7772,train,4
11044,train,2
590,train,4
3470,train,1
3281,train,4
2123,train,1
3545,train,3
14561,train,3
2527,train,4
6030,train,4
4927,train,4
9459,train,4
127,train,4
8900,train,4
13581,train,2
13847,train,2
6212,train,1
11821,train,1
3826,train,2
8537,train,2
11472,train,3
11882,train,1
12089,train,1
5019,train,1
36,train,3
9196,train,4
7190,train,2
13329,train,2
7636,train,1
10880,train,4
416,train,4
9269,train,4
2496,train,3
1464,train,4
7327,train,1
10330,train,4
5246,train,3
11971,train,3
10611,train,4
13339,train,2
5827,train,2
13704,train,2
2218,train,3
142,train,4
2666,train,3
1860,train,3
11150,train,2
6073,train,3
2277,train,1
6697,train,2
4290,train,4
1754,train,2
3859,train,1
7240,train,2
10030,train,1
1241,train,4
4164,train,3
13771,train,2
5125,train,1
5268,train,3
10162,train,2
5785,train,2
11101,train,4
11957,train,4
7518,train,4
2214,train,2
10333,train,1
12120,train,2
8920,train,2
6584,train,1
5043,train,3
5312,train,4
13754,train,2
12927,train,4
6987,train,3
12495,train,1
2923,train,4
12121,train,1
3438,train,4
4630,train,3
6662,train,1
9396,train,4
5041,train,3
10844,train,4
408,train,4
12139,train,4
10219,train,3
5938,train,2
12705,train,4
3263,train,2
8369,train,2
4575,train,2
11122,train,3
8760,train,3
3634,train,1
11914,train,4
8056,train,2
10601,train,4
6235,train,3
1819,train,4
11125,train,2
7357,train,3
10182,train,2
9280,train,2
6828,train,3
12375,train,3
1404,train,3
6946,train,4
13357,train,3
13968,train,2
5850,train,2
10400,train,1
8687,train,4
12740,train,3
4862,train,2
10681,train,1
10112,train,3
1137,train,3
4412,train,1
327,train,4
12800,train,1
13964,train,3
6384,train,1
2835,train,1
12286,train,2
10884,train,3
11566,train,2
12769,train,2
7961,train,3
9189,train,4
7988,train,4
293,train,4
3128,train,3
10348,train,4
3736,train,3
10096,train,2
11161,train,4
8963,train,2
8361,train,2
93,train,4
10121,train,2
10226,train,4
13697,train,1
10886,train,4
2314,train,2
8340,train,2
8415,train,4
3508,train,2
5419,train,1
7129,train,2
7117,train,3
9180,train,2
12829,train,1
13019,train,4
12161,train,4
1855,train,4
13710,train,2
9763,train,1
13148,train,3
1671,train,4
867,train,1
7329,train,2
1832,train,2
4243,train,4
2129,train,1
12648,train,2
10264,train,4
1691,train,3
8381,train,4
5999,train,2
4179,train,3
13560,train,1
655,train,3
8866,train,3
423,train,4
9844,train,3
12349,train,2
9071,train,1
10870,train,4
10689,train,1
10650,train,3
5982,train,3
3066,train,2
7756,train,1
12210,train,1
10734,train,3
4678,train,2
7192,train,3
1128,train,4
3944,train,3
4848,train,3
12207,train,2
1269,train,4
1154,train,2
10075,train,3
7440,train,3
13648,train,2
12634,train,1
13435,train,2
7183,train,2
10728,train,3
11648,train,4
8511,train,4
5898,train,1
713,train,4
3516,train,1
3711,train,1
11903,train,3
9374,train,4
4620,train,2
5024,train,3
128,train,4
999,train,4
4681,train,2
3688,train,1
3203,train,2
7413,train,2
2723,train,3
3532,train,3
1337,train,3
11377,train,4
2029,train,3
7070,train,2
13048,train,1
1010,train,3
12817,train,3
1888,train,3
11614,train,3
2661,train,1
12572,train,4
9512,train,4
14655,train,3
13819,train,2
4926,train,1
5563,train,2
10250,train,4
3906,train,4
198,train,4
910,train,1
1377,train,4
6972,train,1
3025,train,2
1121,train,1
12426,train,4
924,train,1
13349,train,2
1066,train,4
14635,train,3
9529,train,3
13632,train,2
3595,train,2
8770,train,4
10152,train,4
4391,train,1
11417,train,3
6796,train,2
7115,train,3
4084,train,1
10770,train,3
1775,train,3
10490,train,1
6199,train,1
9753,train,4
10225,train,3
10166,train,3
1957,train,4
6945,train,4
13575,train,1
3928,train,3
318,train,4
8004,train,1
10474,train,3
4060,train,4
7778,train,1
9419,train,4
4051,train,4
4586,train,1
6128,train,3
277,train,4
2851,train,4
5287,train,3
5365,train,1
6434,train,4
4422,train,3
5397,train,4
2402,train,1
12494,train,4
1089,train,2
12307,train,1
9951,train,2
5860,train,2
1197,train,4
6144,train,4
5643,train,4
1038,train,2
502,train,1
3180,train,3
3040,train,1
9209,train,3
9282,train,3
7620,train,4
1463,train,4
11745,train,2
9600,train,1
9905,train,3
738,train,3
5088,train,1
2871,train,1
7743,train,2
5388,train,4
5297,train,3
11425,train,1
12413,train,1
456,train,2
984,train,1
7050,train,2
9872,train,3
5189,train,1
3926,train,4
5683,train,2
7873,train,4
9438,train,1
7436,train,1
1811,train,1
5245,train,1
9927,train,2
4758,train,3
13018,train,3
6701,train,3
9361,train,1
7865,train,2
12023,train,1
1214,train,1
3124,train,4
7403,train,4
61,train,3
6515,train,3
6510,train,2
379,train,4
11133,train,1
9174,train,3
2722,train,3
11570,train,1
6773,train,2
3914,train,4
12723,train,2
6357,train,2
12101,train,3
8442,train,3
9314,train,3
13637,train,2
12888,train,2
5495,train,2
14112,train,3
5845,train,2
3325,train,1
9294,train,3
2438,train,2
2671,train,2
1559,train,4
12906,train,2
9036,train,3
2201,train,4
12741,train,3
4668,train,3
14329,train,3
4498,train,3
12081,train,1
9904,train,1
5446,train,3
5599,train,1
7956,train,4
2311,train,4
3580,train,1
6130,train,2
11298,train,3
3076,train,3
10571,train,3
1652,train,3
12961,train,4
9715,train,3
12712,train,2
6643,train,1
7738,train,2
189,train,4
2283,train,3
5756,train,1
10641,train,1
4029,train,4
2416,train,4
5950,train,2
6819,train,3
11676,train,2
1355,train,1
9561,train,2
2228,train,1
7081,train,2
6596,train,3
8970,train,4
12688,train,3
12905,train,2
11799,train,3
13274,train,1
4702,train,3
654,train,1
7072,train,2
3750,train,4
5613,train,2
4518,train,2
4661,train,3
10883,train,3
1133,train,4
6371,train,3
2595,train,2
4984,train,2
1176,train,4
12442,train,4
4437,train,3
5030,train,4
5272,train,3
9551,train,4
227,train,4
12299,train,3
8715,train,4
12540,train,3
4676,train,2
6803,train,1
3551,train,1
6441,train,2
8513,train,2
6093,train,4
6064,train,1
13382,train,2
4108,train,3
10254,train,2
3992,train,3
1113,train,1
5896,train,1
10574,train,4
7844,train,3
5570,train,4
11710,train,3
11270,train,1
4741,train,3
4162,train,3
3889,train,1
6963,train,1
6913,train,1
1682,train,3
5990,train,1
10354,train,2
4547,train,2
7149,train,4
11202,train,4
13238,train,3
2942,train,1
2433,train,3
574,train,1
5514,train,1
8910,train,1
1354,train,4
8362,train,3
7698,train,4
12179,train,4
6616,train,3
359,train,4
11236,train,1
5431,train,4
364,train,4
2357,train,1
3738,train,4
2975,train,4
3783,train,1
5438,train,2
3971,train,3
5527,train,3
12280,train,4
13755,train,2
11947,train,1
7138,train,1
10020,train,4
13557,train,1
11232,train,4
9900,train,1
6356,train,2
8992,train,1
4578,train,1
7836,train,2
5534,train,2
11569,train,4
48,train,3
104,train,4
12907,train,2
5795,train,4
9973,train,2
1264,train,3
1768,train,2
13118,train,4
9390,train,4
8459,train,1
3045,train,1
7250,train,2
11904,train,4
7408,train,1
3192,train,1
6836,train,2
6443,train,1
10934,train,3
11039,train,3
8902,train,4
2930,train,3
5719,train,1
2654,train,1
9547,train,4
5393,train,1
6029,train,1
4509,train,2
9592,train,4
12861,train,3
260,train,4
1968,train,4
3362,train,3
4110,train,4
5271,train,3
3990,train,3
11371,train,1
5458,train,2
8074,train,4
4041,train,4
6953,train,4
3599,train,1
11833,train,3
11554,train,4
13796,train,3
10947,train,1
5591,train,1
9112,train,3
12216,train,3
2684,train,3
4872,train,1
5133,train,4
11382,train,4
11655,train,1
9298,train,1
6254,train,2
4340,train,4
1741,train,1
2401,train,2
9732,train,4
744,train,2
11271,train,1
4363,train,4
2155,train,4
1978,train,3
5148,train,1
3774,train,2
4439,train,3
11228,train,4
5817,train,2
5775,train,3
10881,train,4
12138,train,3
13137,train,2
2906,train,3
4732,train,3
3065,train,2
1394,train,1
11925,train,3
3962,train,4
11299,train,1
4981,train,2
6837,train,2
14403,train,3
694,train,4
9138,train,3
8081,train,4
5331,train,4
12886,train,2
1708,train,2
8576,train,4
431,train,4
3949,train,3
2767,train,3
2341,train,1
1243,train,4
3093,train,1
9072,train,3
14402,train,3
1764,train,2
3803,train,2
13375,train,2
5426,train,4
11027,train,3
1457,train,1
10615,train,1
1758,train,2
6568,train,1
4035,train,4
2051,train,3
3005,train,4
3481,train,2
7822,train,3
13911,train,2
5,train,3
498,train,1
3948,train,1
3183,train,2
7131,train,1
4865,train,2
5485,train,3
4232,train,1
2784,train,3
9170,train,2
111,train,4
2498,train,2
3297,train,3
11669,train,4
683,train,2
13464,train,1
8606,train,4
10252,train,2
3415,train,2
11786,train,1
6493,train,1
11600,train,4
10542,train,3
2516,train,1
8189,train,4
11668,train,4
8591,train,4
871,train,3
8495,train,1
11986,train,4
13692,train,3
4963,train,4
1706,train,4
8198,train,2
9610,train,3
14291,train,3
6203,train,3
9921,train,4
9168,train,2
2577,train,1
12192,train,3
4195,train,3
4502,train,3
6319,train,3
5407,train,2
5881,train,1
4938,train,4
2676,train,4
10928,train,4
3977,train,3
13436,train,2
3890,train,1
1668,train,3
3732,train,1
6626,train,1
10997,train,4
10151,train,4
3364,train,3
9509,train,4
9443,train,3
12557,train,4
11940,train,2
13596,train,2
613,train,1
10344,train,3
8664,train,2
2627,train,2
9176,train,4
2286,train,3
12418,train,2
7734,train,4
12692,train,2
13024,train,1
1441,train,3
1067,train,2
12875,train,4
12659,train,2
12758,train,2
1245,train,3
11365,train,2
4936,train,3
1748,train,1
3288,train,1
3114,train,4
13734,train,1
4965,train,3
11192,train,4
12616,train,1
6134,train,3
903,train,1
12726,train,2
10499,train,1
8851,train,3
8564,train,1
1161,train,1
6139,train,2
9466,train,2
4345,train,2
6353,train,3
3275,train,3
8918,train,2
7683,train,1
8030,train,4
12105,train,4
13477,train,2
9758,train,2
11034,train,4
2987,train,4
8638,train,4
8853,train,3
4273,train,2
2844,train,4
13424,train,2
7460,train,3
11531,train,2
14587,train,3
12589,train,3
9406,train,4
12298,train,1
2594,train,2
4636,train,3
2406,train,1
7314,train,2
6293,train,2
5138,train,4
10115,train,2
9405,train,4
10890,train,2
2048,train,1
12721,train,3
1651,train,3
13533,train,2
10992,train,3
12561,train,1
12815,train,2
7977,train,4
13636,train,2
962,train,4
10630,train,3
6330,train,2
2616,train,3
6350,train,1
12208,train,4
12545,train,4
5427,train,1
6262,train,2
7685,train,4
12369,train,4
9001,train,1
12481,train,2
10268,train,2
10513,train,2
2693,train,3
9171,train,2
4000,train,4
6275,train,2
1946,train,4
747,train,2
2317,train,3
2367,train,2
115,train,4
401,train,4
13030,train,1
6928,train,2
11200,train,2
11732,train,3
3523,train,4
4719,train,2
9230,train,2
12099,train,2
5412,train,1
3775,train,2
10966,train,3
1433,train,1
896,train,4
2542,train,4
4338,train,3
1481,train,3
9884,train,2
1406,train,1
1278,train,3
2880,train,4
1931,train,2
1379,train,1
7065,train,3
6486,train,2
3140,train,3
11951,train,1
7493,train,3
8673,train,3
4074,train,2
14014,train,2
10971,train,3
7186,train,2
1289,train,1
695,train,2
4158,train,3
10269,train,2
2297,train,3
1248,train,3
10841,train,4
11003,train,4
6141,train,1
9233,train,2
6504,train,2
12529,train,2
12941,train,2
11449,train,4
6634,train,2
8191,train,1
2782,train,3
3099,train,1
7242,train,2
6305,train,1
12228,train,2
803,train,3
1263,train,1
10364,train,3
5840,train,1
7064,train,3
11650,train,1
11048,train,4
7533,train,4
10534,train,3
6665,train,1
9842,train,3
6575,train,4
311,train,4
6911,train,2
11042,train,4
8214,train,1
7161,train,2
2225,train,2
2902,train,1
7881,train,3
76,train,3
2184,train,3
6950,train,3
11077,train,4
6720,train,1
3995,train,3
500,train,1
4972,train,1
5401,train,1
5356,train,2
12348,train,1
6077,train,3
7158,train,2
5718,train,1
1590,train,3
691,train,1
9789,train,3
8558,train,2
212,train,4
11528,train,4
8872,train,2
5564,train,2
3123,train,3
6004,train,2
3160,train,2
10829,train,1
557,train,4
7633,train,1
13453,train,3
5617,train,1
5045,train,4
3322,train,2
4188,train,3
13286,train,2
4569,train,4
13960,train,2
4674,train,4
6574,train,2
12711,train,1
11942,train,2
2300,train,1
12669,train,3
3825,train,2
6512,train,4
8069,train,2
4093,train,1
5546,train,1
12103,train,3
9931,train,2
6563,train,2
3193,train,1
3319,train,4
4172,train,1
14590,train,3
12340,train,4
9796,train,1
7769,train,3
1366,train,4
7285,train,2
11069,train,4
5739,train,3
2690,train,2
10294,train,3
4100,train,1
2233,train,2
4067,train,2
7463,train,3
5868,train,2
4214,train,4
11747,train,4
6673,train,3
3356,train,1
10832,train,3
9252,train,2
1863,train,1
4413,train,1
8380,train,3
8295,train,3
12232,train,1
10946,train,1
13715,train,2
8121,train,4
11812,train,4
3151,train,4
1918,train,4
7982,train,2
1728,train,1
13269,train,2
1372,train,3
9027,train,2
7496,train,2
12945,train,3
7978,train,4
5748,train,3
6867,train,1
12272,train,4
11392,train,3
11092,train,4
6062,train,1
12404,train,2
8802,train,3
11002,train,4
3324,train,1
5911,train,4
1411,train,3
11714,train,3
880,train,1
12092,train,4
5784,train,2
10384,train,1
1827,train,4
9499,train,3
13193,train,4
4935,train,3
12600,train,1
3023,train,2
6452,train,3
12268,train,3
10754,train,4
9111,train,1
3955,train,4
11207,train,1
269,train,4
615,train,1
10180,train,4
11275,train,2
12580,train,4
7646,train,3
7292,train,4
4904,train,2
1191,train,1
3310,train,4
3400,train,2
10627,train,2
13690,train,1
4094,train,1
11496,train,1
7317,train,1
8258,train,3
3696,train,2
6938,train,1
1871,train,1
13497,train,1
8438,train,2
7811,train,4
11226,train,3
6993,train,2
13797,train,3
7589,train,3
5875,train,1
1859,train,1
1529,train,1
4645,train,3
4603,train,1
14110,train,3
7145,train,3
12736,train,1
1881,train,2
37,train,3
1560,train,4
3479,train,1
5669,train,2
11448,train,4
5644,train,4
12077,train,1
5430,train,1
11514,train,2
4617,train,4
7407,train,4
4068,train,2
1538,train,3
149,train,4
2343,train,3
55,train,3
7906,train,4
13539,train,2
8085,train,1
13250,train,2
2838,train,2
4407,train,1
8110,train,1
10647,train,3
11619,train,2
3190,train,3
1798,train,1
12517,train,2
8583,train,2
558,train,2
5701,train,2
13102,train,1
2191,train,2
6169,train,4
7012,train,1
3127,train,1
9699,train,4
12328,train,2
12828,train,1
3106,train,4
7955,train,4
12029,train,4
3271,train,3
13616,train,3
472,train,2
3054,train,1
9671,train,1
1673,train,4
12044,train,2
13111,train,4
2265,train,3
887,train,4
247,train,4
8208,train,4
14043,train,2
8355,train,3
2525,train,3
370,train,4
6716,train,4
1210,train,2
826,train,4
11060,train,4
10368,train,4
3855,train,2
13555,train,1
9752,train,4
8097,train,4
1060,train,3
9853,train,1
3602,train,3
8823,train,2
82,train,4
12996,train,1
9550,train,2
12749,train,3
5893,train,1
5501,train,4
7682,train,2
12429,train,2
7271,train,1
762,train,3
171,train,4
5206,train,4
4219,train,2
1826,train,4
13341,train,2
1313,train,1
13746,train,1
9485,train,1
2834,train,2
6424,train,1
11458,train,3
9540,train,4
11684,train,1
3450,train,2
13669,train,1
63,train,3
1830,train,1
4382,train,4
4083,train,1
6722,train,1
10193,train,3
1574,train,1
197,train,4
2677,train,4
11509,train,3
9417,train,2
8079,train,4
2083,train,3
8653,train,2
4546,train,3
5015,train,3
6385,train,3
10687,train,4
9800,train,4
2268,train,4
6906,train,3
5255,train,1
12693,train,1
8443,train,3
4174,train,1
10619,train,4
11222,train,1
7283,train,2
7261,train,4
3407,train,1
13993,train,2
6774,train,2
11374,train,1
11071,train,4
9914,train,1
9161,train,3
1746,train,1
13617,train,3
1388,train,4
11829,train,1
2015,train,2
3175,train,2
645,train,1
11260,train,3
3563,train,3
3693,train,4
5505,train,4
4979,train,3
7443,train,3
10718,train,3
10719,train,2
2475,train,3
12842,train,1
8733,train,2
997,train,4
2050,train,1
11418,train,1
6096,train,4
2802,train,3
10569,train,3
2000,train,3
158,train,4
7427,train,1
222,train,4
5016,train,3
13830,train,2
13725,train,1
13470,train,2
2360,train,3
9142,train,2
11137,train,3
4066,train,2
951,train,4
626,train,2
824,train,3
12059,train,2
10957,train,4
13873,train,2
10257,train,2
12802,train,1
10935,train,4
7219,train,1
12678,train,1
3020,train,2
2181,train,2
3063,train,2
8695,train,1
3925,train,4
13127,train,4
14648,train,3
2504,train,3
7473,train,2
3041,train,1
4537,train,2
13338,train,4
9297,train,3
12889,train,1
10548,train,3
10277,train,4
4019,train,4
5751,train,3
8831,train,3
768,train,2
7419,train,3
2528,train,4
447,train,4
1749,train,3
11348,train,2
3079,train,3
2626,train,2
1530,train,1
7025,train,2
8036,train,2
10024,train,2
11464,train,3
7107,train,3
4986,train,2
2754,train,1
5668,train,2
10537,train,4
12127,train,3
6795,train,2
6608,train,2
7166,train,3
921,train,3
346,train,4
11905,train,2
2919,train,1
7897,train,2
9821,train,4
13021,train,2
13502,train,1
11245,train,2
5474,train,3
3204,train,2
1834,train,2
1460,train,4
2814,train,3
6520,train,4
4316,train,1
4056,train,4
445,train,4
12818,train,3
6224,train,1
630,train,2
12085,train,4
13354,train,1
5358,train,4
12097,train,3
10148,train,1
6273,train,3
5021,train,1
4139,train,3
4042,train,4
8439,train,2
9042,train,4
5108,train,1
7458,train,3
2350,train,4
355,train,4
13740,train,1
8559,train,1
4148,train,4
4058,train,4
4352,train,2
7720,train,3
6190,train,1
8842,train,2
6438,train,1
9846,train,3
9219,train,4
279,train,4
13548,train,2
7773,train,4
3191,train,3
10494,train,3
11322,train,1
3201,train,2
4105,train,3
13662,train,2
9641,train,4
2558,train,1
3997,train,4
8177,train,3
11952,train,1
7074,train,2
13468,train,2
3765,train,1
5028,train,4
8672,train,3
8257,train,1
4244,train,4
5525,train,3
8228,train,1
10123,train,2
4805,train,1
52,train,3
5745,train,1
11006,train,4
3503,train,2
4882,train,3
10062,train,2
7713,train,4
6555,train,2
1262,train,1
1943,train,3
1823,train,1
12843,train,3
956,train,1
11478,train,2
9414,train,4
1396,train,3
8565,train,4
11611,train,1
6009,train,1
10223,train,3
10198,train,1
8025,train,3
13645,train,2
5451,train,2
6398,train,3
11470,train,3
1503,train,4
333,train,4
8964,train,1
6797,train,2
10451,train,4
1136,train,3
4923,train,1
8762,train,3
7900,train,4
3698,train,2
10355,train,1
10049,train,1
261,train,4
2499,train,1
12104,train,4
9543,train,4
3601,train,1
3299,train,4
8011,train,2
9845,train,3
403,train,4
5096,train,3
974,train,4
122,train,4
8412,train,3
4475,train,3
4152,train,3
8743,train,4
6838,train,2
7051,train,2
3744,train,2
5354,train,1
6129,train,2
9153,train,4
14137,train,3
8133,train,2
6581,train,2
5734,train,1
12784,train,2
10093,train,1
9190,train,4
5065,train,1
11384,train,4
10705,train,2
12454,train,4
6981,train,1
10444,train,2
6189,train,1
11408,train,2
112,train,4
2457,train,2
13360,train,2
1643,train,4
6366,train,1
7862,train,4
5773,train,1
12761,train,1
1623,train,4
389,train,4
194,train,4
6990,train,4
3957,train,2
3396,train,4
6089,train,2
9020,train,4
11610,train,2
9481,train,4
9991,train,4
13577,train,1
2407,train,1
1975,train,1
3638,train,3
12765,train,4
6862,train,2
10959,train,1
11561,train,4
12133,train,1
6324,train,2
2554,train,4
4870,train,1
9985,train,2
9169,train,2
5686,train,1
14223,train,3
6814,train,1
8306,train,3
6213,train,4
5916,train,2
8812,train,2
136,train,4
8174,train,3
9854,train,4
8973,train,2
11616,train,2
9566,train,1
12009,train,2
4187,train,3
4278,train,2
4117,train,4
6891,train,2
6300,train,3
3477,train,4
5314,train,4
10370,train,4
8803,train,3
10120,train,4
11102,train,1
6974,train,3
9245,train,3
1380,train,1
10447,train,2
9918,train,3
9638,train,3
12203,train,1
8950,train,3
1616,train,4
8692,train,3
1325,train,1
4445,train,4
3311,train,4
2845,train,4
3226,train,1
12387,train,3
13679,train,1
8317,train,3
579,train,1
8021,train,3
1279,train,3
13265,train,1
12109,train,4
11291,train,2
6530,train,1
10602,train,4
4623,train,2
2811,train,3
13703,train,1
12871,train,2
8290,train,4
13929,train,2
5951,train,2
5102,train,2
9506,train,1
808,train,4
7035,train,3
8863,train,4
7663,train,4
7214,train,1
6645,train,3
8859,train,1
11991,train,2
13874,train,2
9832,train,3
5532,train,2
3011,train,4
13332,train,3
1296,train,1
10620,train,2
11865,train,3
6564,train,2
7826,train,2
4696,train,4
14615,train,3
8592,train,2
13925,train,2
12897,train,4
12972,train,1
14401,train,3
1393,train,1
2920,train,2
12953,train,3
11369,train,2
6458,train,1
4333,train,2
2328,train,1
10625,train,3
5139,train,4
11047,train,3
508,train,1
6278,train,3
689,train,1
13437,train,1
13459,train,1
10656,train,3
7564,train,3
8593,train,3
6843,train,1
14078,train,3
4023,train,4
12436,train,1
7433,train,2
13534,train,1
6508,train,1
7390,train,4
7062,train,1
4525,train,3
12791,train,2
12574,train,4
1914,train,2
3302,train,4
3716,train,1
8117,train,1
11378,train,3
5183,train,2
9258,train,2
13650,train,2
2931,train,2
3781,train,4
7394,train,3
2646,train,1
9749,train,3
4634,train,3
13545,train,1
12530,train,2
7310,train,3
14637,train,3
12381,train,4
11323,train,3
14459,train,3
11996,train,4
3506,train,4
12617,train,2
13566,train,2
5375,train,4
5180,train,3
7599,train,4
775,train,1
4456,train,3
5873,train,1
8627,train,2
9504,train,1
3872,train,1
9959,train,3
3277,train,4
8888,train,3
6646,train,1
7476,train,1
748,train,2
5733,train,3
12606,train,3
4140,train,3
13484,train,1
742,train,2
9536,train,4
4857,train,4
223,train,4
11597,train,4
8896,train,1
6558,train,1
3722,train,4
7763,train,1
9234,train,2
3068,train,2
11234,train,2
51,train,3
4944,train,3
13323,train,1
1870,train,2
4046,train,4
13196,train,2
4344,train,2
2147,train,4
13867,train,2
7090,train,4
1283,train,3
8445,train,3
8037,train,1
14047,train,2
11982,train,4
12045,train,2
5815,train,4
6405,train,3
6435,train,3
11406,train,4
7432,train,4
